common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,1,1,0,0,2,0,0,0,0,0,1,0,1,2,1,0,0,9,2020
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,6,2020
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2020
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,8,2020
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2020
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blackburnian Warbler,Dendroica fusca,Dendroica,fusca,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Black-capped Chickadee,Parus atricapillus,Parus,atricapillus,Paridae,2,2,2,3,0,0,0,0,1,2,1,1,1,0,1,1,1,18,2020
Blackpoll Warbler,Dendroica striata,Dendroica,striata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Black-throated Green Warbler,Dendroica virens,Dendroica,virens,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blue Jay,Cyanocitta cristata,Cyanocitta,cristata,Corvidae,0,0,0,0,2,0,0,0,0,1,1,0,1,2,1,0,1,9,2020
Blue-gray Gnatcatcher,Polioptila caerula,Polioptila,caerula,Polioptilidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blue-headed [solitary] Vireo,Vireo solitarius,Vireo,solitarius,Vireonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blue-winged Teal,Anas discors,Anas,discors,Anatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blue-winged Warbler,Vermivora pinus,Vermivora,pinus,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Bobolink,Dolichonyx oryzivorus,Dolichonyx,oryzivorus,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Broad-winged Hawk,Buteo playpterus,Buteo,playpterus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Brown Thrasher,Toxostoma rufum,Toxostoma,rufum,Mimidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Brown-headed Cowbird,Molothrus ater,Molothrus,ater,Icteridae,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,4,2020
Canada Goose,Branta canadensis,Branta,canadensis,Anatidae,1,2,2,2,0,1,1,0,0,1,2,0,0,0,0,0,0,12,2020
Canada Warbler,Wilsonia canadensis,Wilsonia,canadensis,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Cape May Warbler,Dendroica tigrina,Dendroica,tigrina,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Caspian tern,Hydroprogne caspia,Hydroprogne,caspia,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
